ID;StartTime;Path
0;2017-10-31 17:19:00;A(81):(4):B1(4):(55):C(6):(46):D1(37)
1;2017-01-02 02:25:00;A(51):(16):B1(63):(6):C(3):(149):D1(13)
2;2017-01-02 14:15:00;A(83):(1):B1(6):(11):C(224):(157):D1(3)
3;2018-03-28 00:32:00;A(39):(5):B1(7):(250):C(220):(549):D1(5)
4;2017-02-16 01:20:00;A(596):(1):B1(12):(230):C(7):(350):D1(12)
5;2017-12-15 17:34:00;A(15):(20):B1(12):(230):C(38):(75):D1(23)
6;2017-04-05 05:52:00;A(4):(29):B1(21):(80):C(28):(148):D1(25)
7;2017-08-14 07:34:00;A(207):(50):B1(33):(47):C(147):(356):D1(5)
8;2017-08-08 23:29:00;A(80):(5):B1(2):(251):C(173):(138):D1(13)
9;2017-07-30 14:22:00;A(15):(1):B1(35):(244):C(73):(135):D1(2)
10;2017-07-29 11:52:00;A(139):(25):B1(8):(39):C(227):(913):D1(5)
11;2017-03-06 17:32:00;A(9):(16):B2(13):(58):C(445):(44):D1(2)
12;2019-11-13 19:53:00;A(80):(3):B1(88):(505):C(51):(40):D1(11)
13;2017-02-08 08:38:00;A(68):(3):B1(8):(214):C(167):(439):D1(50)
14;2018-05-04 09:54:00;A(22):(1):B1(8):(46):C(75):(171):D1(18)
15;2017-07-03 10:03:00;A(107):(11):B1(19):(62):C(114):(501):D1(14)
16;2017-01-04 08:41:00;A(139):(5):B1(17):(23):C(189):(88):D1(59)
17;2017-01-21 08:46:00;A(62):(5):B1(3):(42):C(130):(205):D1(51)
18;2017-03-29 17:27:00;A(85):(9):B1(22):(16):C(197):(586):D1(11)
19;2017-05-25 19:53:00;A(7):(3):B1(19):(62):C(500):(351):D1(8)
20;2017-03-10 21:51:00;A(308):(14):B1(4):(99):C(64):(160):D1(21)
21;2018-12-21 19:58:00;A(10):(3):B1(6):(99):C(46):(66):D1(3)
22;2017-07-30 05:49:00;A(596):(3):B1(0):(205):C(79):(190):D1(47)
23;2018-03-11 19:10:00;A(5):(2):B1(64):(36):C(27):(794):D1(5)
24;2017-01-03 11:53:00;A(44):(1):B1(64):(60):C(46):(293):D1(36)
25;2017-12-28 11:10:00;A(24):(8):B1(47):(209):C(151):(8):D1(77)
26;2017-03-06 00:30:00;A(2):(5):B1(10):(109):C(53):(1):D1(7)
27;2017-04-23 20:59:00;A(22):(5):B1(16):(99):C(68):(38):D1(41)
28;2017-01-31 12:33:00;A(23):(5):B1(26):(335):C(13):(339):D1(7)
29;2017-01-29 11:31:00;A(96):(18):B1(47):(132):C(12):(701):D1(15)
30;2017-01-25 06:32:00;A(16):(2):B1(14):(102):C(76):(56):D1(10)
31;2017-02-09 01:11:00;A(6):(7):B1(73):(177):C(32):(432):D1(42)
32;2017-03-17 02:17:00;A(7):(13):B1(9):(13):C(7):(382):D1(22)
33;2017-07-15 12:05:00;A(78):(3):B1(4):(158):C(184):(129):D1(3)
34;2017-02-22 17:50:00;A(178):(2):B1(19):(10):C(128):(212):D1(36)
35;2017-02-21 08:26:00;A(28):(11):B1(171):(167):C(13):(435):D1(43)
36;2017-05-20 16:04:00;A(92):(8):B1(4):(5):C(48):(507):D1(63)
37;2017-04-09 19:33:00;A(104):(6):B1(31):(274):C(62):(673):D1(1)
38;2017-03-23 17:29:00;A(59):(7):B1(22):(105):C(46):(265):D2(11)
39;2017-03-06 11:47:00;A(100):(55):B1(9):(292):C(18):(122):D1(35)
40;2017-01-26 13:41:00;A(236):(21):B1(5):(15):C(10):(137):D1(83)
41;2017-10-31 18:21:00;A(6):(0):B1(22):(404):C(115):(301):D1(29)
42;2017-02-23 22:21:00;A(10):(2):B1(20):(13):C(59):(58):D1(29)
43;2017-05-24 08:50:00;A(3):(8):B1(14):(24):C(26):(384):D1(100)
44;2018-02-03 09:18:00;A(49):(5):B1(17):(48):C(132):(667):D1(1)
