ID;StartTime;Path
0;2017-03-14 17:08:00;A(254):(6):B1(1):(38):C(0):(228):D1(74)
1;2017-03-24 04:57:00;A(24):(2):B1(6):(338):C(58):(5):D1(31)
2;2017-01-28 20:55:00;A(9):(1):B1(9):(86):C(2):(117):D1(17)
3;2018-02-18 01:09:00;A(55):(1):B1(37):(37):C(86):(405):D1(25)
4;2017-08-19 12:09:00;A(27):(16):B1(19):(145):C(6):(455):D1(20)
5;2018-10-10 00:11:00;A(82):(9):B1(27):(197):C(119):(243):D1(19)
6;2017-05-24 19:41:00;A(1):(2):B1(39):(135):C(86):(713):D1(3)
7;2017-10-29 15:36:00;A(71):(4):B1(3):(17):C(148):(767):D1(7)
8;2017-08-07 12:53:00;A(54):(6):B1(3):(57):C(79):(153):D1(21)
9;2017-03-01 00:29:00;A(10):(5):B1(1):(565):C(64):(41):D1(17)
10;2017-06-05 05:37:00;A(47):(15):B1(19):(50):C(22):(702):D1(11)
11;2018-03-18 19:50:00;A(49):(3):B1(32):(133):C(49):(184):D1(14)
12;2017-03-07 13:06:00;A(76):(15):B1(34):(156):C(29):(448):D1(18)
13;2017-02-17 22:32:00;A(157):(8):B1(4):(12):C(42):(687):D1(59)
14;2017-11-08 20:10:00;A(29):(0):B1(51):(230):C(250):(118):D1(94)
15;2017-05-22 13:12:00;A(93):(3):B1(20):(48):C(30):(68):D1(6)
16;2017-01-30 15:01:00;A(5):(2):B1(20):(154):C(2):(960):D1(25)
17;2017-06-22 01:34:00;A(16):(4):B1(41):(105):C(307):(10):D1(9)
18;2017-09-14 05:43:00;A(177):(19):B1(53):(439):C(147):(70):D1(49)
19;2017-07-21 23:48:00;A(118):(14):B1(14):(551):C(95):(4):D2(29)
20;2017-04-09 01:54:00;A(27):(7):B1(1):(150):C(34):(10):D1(1)
21;2017-04-06 00:58:00;A(22):(1):B1(2):(240):C(173):(304):D1(10)
22;2018-11-04 04:54:00;A(92):(18):B1(26):(270):C(149):(765):D1(4)
23;2017-06-15 10:58:00;A(35):(3):B1(9):(113):C(23):(31):D1(9)
24;2017-02-14 23:51:00;A(7):(14):B1(9):(19):C(117):(142):D1(29)
25;2019-04-28 02:25:00;A(16):(19):B1(77):(35):C(76):(219):D1(20)
26;2017-02-04 02:20:00;A(11):(6):B1(5):(75):C(63):(104):D1(18)
27;2017-10-06 21:09:00;A(7):(6):B1(14):(11):C(54):(303):D1(23)
28;2017-10-26 11:33:00;A(24):(10):B1(18):(81):C(108):(385):D1(19)
29;2017-01-03 09:58:00;A(200):(8):B1(2):(9):C(146):(83):D1(10)
30;2017-01-04 17:41:00;A(69):(31):B1(5):(210):C(30):(243):D1(18)
31;2018-01-23 05:25:00;A(77):(1):B1(19):(6):C(34):(45):D1(9)
32;2017-12-05 01:06:00;A(195):(4):B1(11):(51):C(120):(1111):D1(4)
33;2017-08-03 15:40:00;A(14):(12):B1(6):(75):C(139):(377):D1(1)
34;2017-03-25 02:22:00;A(24):(6):B1(73):(124):C(224):(561):D1(21)
35;2017-08-25 01:11:00;A(108):(8):B1(2):(37):C(107):(225):D1(21)
36;2017-03-16 02:41:00;A(5):(27):B1(5):(144):C(70):(350):D1(22)
37;2018-02-16 14:52:00;A(64):(8):B1(7):(148):C(47):(144):D1(77)
38;2017-03-16 03:09:00;A(194):(6):B1(58):(253):C(178):(208):D1(24)
39;2017-09-10 17:23:00;A(20):(4):B1(26):(35):C(229):(20):D1(46)
40;2017-01-05 01:27:00;A(48):(20):B1(143):(163):C(58):(577):D1(18)
41;2017-02-19 11:22:00;A(151):(9):B1(82):(137):C(816):(167):D1(6)
42;2017-10-30 02:10:00;A(125):(7):B1(5):(156):C(13):(573):D1(32)
43;2017-01-28 20:20:00;A(45):(2):B1(23):(455):C(46):(627):D1(6)
44;2017-01-21 04:04:00;A(42):(1):B1(2):(80):C(86):(81):D1(14)
45;2017-01-16 19:20:00;A(13):(17):B1(78):(296):C(85):(86):D1(28)
46;2017-03-05 15:01:00;A(122):(4):B1(48):(77):C(104):(98):D1(15)
47;2017-05-18 14:48:00;A(4):(4):B1(8):(85):C(88):(95):D1(25)
48;2018-03-14 09:55:00;A(68):(30):B1(22):(9):C(62):(16):D1(10)
49;2017-09-14 07:02:00;A(115):(24):B1(1):(329):C(285):(396):D1(12)
50;2017-08-22 16:07:00;A(9):(0):B1(20):(178):C(86):(189):D1(9)
51;2017-01-24 23:21:00;A(13):(14):B1(11):(38):C(392):(19):D1(15)
52;2017-01-29 10:16:00;A(27):(9):B1(40):(227):C(308):(764):D1(46)
53;2017-09-10 00:22:00;A(25):(7):B1(66):(142):C(51):(173):D1(0)
54;2017-09-27 17:33:00;A(67):(16):B1(19):(185):C(88):(553):D1(28)
55;2017-03-04 11:56:00;A(277):(3):B1(93):(93):C(145):(337):D1(12)
56;2018-11-04 21:42:00;A(167):(1):B1(9):(464):C(129):(1218):D1(7)
57;2017-07-09 15:18:00;A(42):(1):B1(7):(222):C(338):(121):D1(16)
58;2017-06-23 12:54:00;A(24):(11):B1(7):(36):C(227):(17):D1(7)
59;2018-08-11 22:31:00;A(49):(4):B1(106):(143):C(169):(379):D1(7)
60;2017-03-01 17:17:00;A(154):(1):B1(70):(74):C(223):(358):D1(28)
61;2017-02-19 16:33:00;A(66):(21):B2(32):(27):C(135):(271):D1(19)
62;2017-07-25 20:36:00;A(79):(6):B1(16):(60):C(57):(223):D1(4)
63;2017-02-14 22:07:00;A(232):(4):B1(47):(14):C(127):(6):D1(48)
64;2017-02-11 00:26:00;A(40):(7):B1(15):(348):C(109):(178):D1(14)
65;2017-11-20 17:43:00;A(128):(6):B1(22):(187):C(166):(186):D1(60)
66;2017-04-26 18:28:00;A(376):(8):B1(48):(167):C(97):(213):D1(40)
67;2017-07-28 05:20:00;A(39):(7):B1(22):(96):C(88):(645):D1(64)
68;2018-01-16 18:29:00;A(107):(15):B1(21):(231):C(98):(60):D1(16)
69;2017-04-16 22:28:00;A(97):(1):B1(2):(127):C(147):(13):D1(15)
70;2020-03-11 14:06:00;A(44):(25):B1(41):(161):C(1):(68):D1(105)
71;2017-04-22 13:01:00;A(56):(18):B1(37):(7):C(225):(268):D1(0)
72;2018-07-31 12:26:00;A(21):(18):B1(36):(305):C(159):(31):D1(13)
73;2017-06-17 13:28:00;A(43):(10):B1(20):(180):C(278):(500):D1(11)
74;2017-01-19 05:08:00;A(33):(3):B1(13):(27):C(153):(1734):D1(0)
75;2017-07-28 06:45:00;A(391):(31):B1(29):(144):C(61):(126):D1(12)
76;2017-05-25 09:31:00;A(423):(12):B1(13):(14):C(64):(250):D1(55)
77;2018-04-04 03:24:00;A(6):(43):B1(44):(101):C(200):(116):D1(2)
78;2017-01-13 15:35:00;A(114):(11):B1(24):(18):C(31):(45):D1(2)
79;2017-01-18 20:21:00;A(36):(5):B1(2):(8):C(115):(384):D1(56)
80;2017-02-11 02:51:00;A(25):(2):B1(20):(774):C(8):(104):D1(4)
81;2017-10-11 16:06:00;A(14):(9):B1(24):(242):C(32):(51):D1(6)
82;2017-06-16 03:51:00;A(35):(31):B1(8):(12):C(133):(27):D1(18)
83;2018-10-07 12:41:00;A(32):(59):B1(1):(1173):C(90):(110):D1(8)
84;2017-03-29 23:39:00;A(134):(10):B1(9):(138):C(52):(30):D1(6)
85;2018-06-05 11:36:00;A(8):(8):B1(24):(22):C(75):(82):D1(29)
86;2017-11-23 20:22:00;A(37):(12):B1(19):(187):C(144):(229):D1(39)
87;2017-05-08 05:02:00;A(42):(4):B1(0):(30):C(30):(358):D1(15)
88;2018-05-06 15:07:00;A(2):(1):B1(106):(134):C(102):(15):D1(19)
89;2017-06-26 15:23:00;A(85):(6):B1(113):(33):C(17):(209):D1(26)
90;2017-01-07 07:22:00;A(49):(3):B1(19):(13):C(16):(271):D1(12)
91;2017-01-02 08:14:00;A(93):(3):B1(28):(46):C(96):(104):D1(56)
92;2017-04-18 11:56:00;A(138):(0):B2(8):(5):C(64):(373):D1(18)
93;2017-08-22 23:36:00;A(23):(9):B1(6):(43):C(28):(343):D1(46)
94;2017-04-13 18:17:00;A(36):(3):B1(6):(261):C(30):(184):D1(7)
95;2017-02-17 22:02:00;A(24):(0):B1(27):(91):C(15):(103):D1(3)
96;2017-01-20 01:53:00;A(18):(0):B1(39):(217):C(80):(13):D1(78)
97;2017-03-05 18:40:00;A(122):(1):B1(17):(151):C(193):(364):D1(59)
98;2017-01-24 06:14:00;A(31):(2):B1(22):(182):C(207):(188):D1(12)
99;2017-07-29 08:03:00;A(85):(8):B2(132):(9):C(296):(65):D1(1)
100;2017-01-12 05:30:00;A(107):(12):B1(23):(25):C(236):(887):D1(19)
101;2017-10-30 02:03:00;A(99):(0):B1(4):(253):C(123):(340):D1(5)
102;2017-05-02 23:19:00;A(92):(14):B1(10):(9):C(61):(383):D1(9)
103;2017-12-04 21:35:00;A(31):(9):B1(62):(258):C(25):(50):D1(44)
104;2017-06-06 22:53:00;A(3):(0):B1(15):(293):C(185):(87):D1(16)
