ID;StartTime;Path
0;2017-03-20 22:14:00;A:B1:C:D1:E1
1;2019-04-19 19:46:00;A:B1:C:D1:E3
2;2020-02-09 12:17:00;A:B1:C:D1:E1
3;2017-09-23 18:19:00;A:B1:C:D1:E4
4;2017-04-26 04:05:00;A:B1:C:D1:E3
5;2017-01-08 20:23:00;A:B1:C:D1:E1
6;2019-01-01 01:09:00;A:B1:C:D1:E1
7;2017-06-29 23:08:00;A:B1:C:D1:E0
8;2017-10-09 14:33:00;A:B1:C:D1:E0
9;2017-01-02 14:17:00;A:B1:C:D1:E3
10;2017-02-24 16:55:00;A:B1:C:D1:E2
11;2017-05-27 08:04:00;A:B1:C:D1:E3
12;2017-07-09 01:04:00;A:B1:C:D1:E1
13;2017-07-21 23:13:00;A:B1:C:D1:E0
14;2018-01-14 16:49:00;A:B1:C:D1:E2
15;2017-10-14 20:36:00;A:B1:C:D1:E0
16;2017-01-08 09:17:00;A:B1:C:D1:E2
17;2017-01-04 21:26:00;A:B1:C:D1:E4
18;2017-01-13 03:59:00;A:B1:C:D1:E1
19;2017-03-16 03:53:00;A:B1:C:D1:E3
20;2017-03-12 12:04:00;A:B1:C:D1:E4
21;2017-04-08 18:31:00;A:B1:C:D1:E0
22;2017-01-31 14:53:00;A:B1:C:D1:E3
23;2017-05-21 15:18:00;A:B1:C:D1:E2
24;2017-01-06 02:26:00;A:B1:C:D1:E0
25;2017-10-10 21:02:00;A:B1:C:D1:E0
26;2017-07-21 18:15:00;A:B1:C:D1:E0
27;2017-01-05 19:47:00;A:B1:C:D1:E2
28;2017-10-23 12:58:00;A:B1:C:D1:E3
29;2017-06-15 02:40:00;A:B1:C:D1:E2
30;2017-01-05 18:47:00;A:B1:C:D1:E3
31;2017-05-24 01:43:00;A:B1:C:D1:E3
32;2017-03-21 01:29:00;A:B1:C:D1:E2
33;2017-08-03 02:38:00;A:B1:C:D1:E2
34;2017-09-06 21:25:00;A:B1:C:D1:E4
35;2017-01-13 01:07:00;A:B1:C:D1:E3
36;2017-03-06 11:35:00;A:B1:C:D1:E1
37;2017-01-01 21:55:00;A:B1:C:D1:E1
38;2017-01-19 12:28:00;A:B1:C:D1:E1
39;2017-04-05 14:47:00;A:B1:C:D1:E0
