ID;StartTime;Path
0;2017-03-14 17:08:00;A(3018):(46):B1(235):(-1029):C(2095):(-898):D1(456)
1;2017-03-24 04:57:00;A(1154):(16):B1(141):(351):C(3004):(369):D1(-275)
2;2017-01-28 20:55:00;A(-697):(15):B1(-238):(-22):C(720):(-1307):D1(203)
3;2018-02-18 01:09:00;A(-800):(134):B1(377):(480):C(-1007):(-3228):D1(-262)
4;2017-08-19 12:09:00;A(850):(35):B1(-6):(2625):C(-793):(-178):D1(20)
5;2018-10-10 00:11:00;A(-174):(-187):B1(-50):(215):C(1188):(-4646):D1(140)
6;2017-05-24 19:41:00;A(39):(55):B1(-791):(-2693):C(250):(661):D1(897)
7;2017-10-29 15:36:00;A(119):(58):B1(90):(3410):C(-1139):(-1202):D1(-53)
8;2017-08-07 12:53:00;A(1485):(-100):B1(-63):(-195):C(-2301):(358):D1(48)
9;2017-03-01 00:29:00;A(-1677):(135):B1(-51):(980):C(-1465):(-6570):D1(86)
10;2017-06-05 05:37:00;A(428):(-13):B1(-227):(-23):C(-172):(-1023):D1(55)
11;2018-03-18 19:50:00;A(-2442):(51):B1(511):(2320):C(296):(6129):D1(56)
12;2017-03-07 13:06:00;A(-291):(35):B1(-1023):(-1018):C(1374):(1720):D1(224)
13;2017-02-17 22:32:00;A(826):(124):B1(103):(2620):C(477):(-2546):D1(672)
14;2017-11-08 20:10:00;A(-325):(-8):B1(336):(390):C(805):(-341):D1(285)
15;2017-05-22 13:12:00;A(115):(150):B1(268):(3043):C(-522):(-3860):D1(-95)
16;2017-01-30 15:01:00;A(-369):(52):B1(529):(-1485):C(642):(863):D1(95)
17;2017-06-22 01:34:00;A(233):(-221):B1(-197):(-527):C(886):(14):D1(142)
18;2017-09-14 05:43:00;A(-922):(-94):B1(-110):(231):C(1570):(207):D1(-61)
19;2017-07-21 23:48:00;A(37):(21):B1(143):(-891):C(-2484):(365):D2(34)
20;2017-04-09 01:54:00;A(414):(230):B1(-102):(3291):C(-764):(-5638):D1(9)
21;2017-04-06 00:58:00;A(697):(-43):B1(-112):(-1088):C(3194):(848):D1(299)
22;2018-11-04 04:54:00;A(-170):(-70):B1(-584):(565):C(1085):(-1747):D1(-574)
23;2017-06-15 10:58:00;A(1150):(22):B1(565):(727):C(70):(2940):D1(1)
24;2017-02-14 23:51:00;A(1057):(67):B1(269):(-2647):C(1264):(-1139):D1(-241)
25;2019-04-28 02:25:00;A(-2973):(159):B1(582):(104):C(749):(-88):D1(62)
26;2017-02-04 02:20:00;A(394):(-205):B1(-260):(1523):C(-1221):(5484):D1(-426)
27;2017-10-06 21:09:00;A(375):(174):B1(451):(1247):C(-40):(2703):D1(5)
28;2017-10-26 11:33:00;A(276):(114):B1(339):(402):C(-2858):(-2913):D1(124)
29;2017-01-03 09:58:00;A(66):(186):B1(53):(-211):C(397):(3868):D1(25)
30;2017-01-04 17:41:00;A(86):(-9):B1(450):(-2734):C(6):(410):D1(-138)
31;2018-01-23 05:25:00;A(-1056):(215):B1(-108):(-47):C(1155):(1080):D1(-144)
32;2017-12-05 01:06:00;A(-707):(-6):B1(246):(700):C(2673):(846):D1(-110)
33;2017-08-03 15:40:00;A(-947):(149):B1(526):(96):C(-171):(-2808):D1(206)
34;2017-03-25 02:22:00;A(-406):(-99):B1(-99):(-631):C(-559):(-4302):D1(442)
35;2017-08-25 01:11:00;A(-34):(-109):B1(223):(94):C(1373):(461):D1(282)
36;2017-03-16 02:41:00;A(374):(305):B1(204):(506):C(361):(613):D1(58)
37;2018-02-16 14:52:00;A(-242):(3):B1(39):(964):C(211):(-1221):D1(-143)
38;2017-03-16 03:09:00;A(42):(95):B1(371):(-6):C(1349):(-3346):D1(-109)
39;2017-09-10 17:23:00;A(651):(101):B1(-286):(1118):C(-214):(2067):D1(51)
40;2017-01-05 01:27:00;A(851):(-1):B1(14):(67):C(430):(-9846):D1(-158)
41;2017-02-19 11:22:00;A(382):(-113):B1(-634):(-617):C(1721):(-1929):D1(156)
42;2017-10-30 02:10:00;A(-552):(190):B1(-185):(529):C(-253):(291):D1(-103)
43;2017-01-28 20:20:00;A(524):(167):B1(-65):(-200):C(-462):(1344):D1(87)
44;2017-01-21 04:04:00;A(879):(375):B1(-281):(-3470):C(-2068):(-1724):D1(-3)
45;2017-01-16 19:20:00;A(-299):(114):B1(240):(-731):C(-1421):(1357):D1(308)
46;2017-03-05 15:01:00;A(-531):(-15):B1(24):(1808):C(-603):(949):D1(363)
47;2017-05-18 14:48:00;A(275):(310):B1(-119):(1201):C(1186):(-3162):D1(1666)
48;2018-03-14 09:55:00;A(1289):(-34):B1(-89):(1303):C(-1887):(15):D1(137)
49;2017-09-14 07:02:00;A(-184):(-60):B1(9):(509):C(-1401):(424):D1(-289)
50;2017-08-22 16:07:00;A(1252):(-86):B1(308):(-228):C(-678):(3579):D1(574)
51;2017-01-24 23:21:00;A(706):(308):B1(25):(77):C(401):(1496):D1(34)
52;2017-01-29 10:16:00;A(-146):(62):B1(5):(1336):C(-1664):(987):D1(-79)
53;2017-09-10 00:22:00;A(261):(-60):B1(325):(-1657):C(-684):(-1849):D1(134)
54;2017-09-27 17:33:00;A(48):(-2):B1(-44):(680):C(-49):(-1808):D1(-97)
55;2017-03-04 11:56:00;A(-571):(182):B1(220):(905):C(-1475):(1647):D1(827)
56;2018-11-04 21:42:00;A(-260):(87):B1(184):(-306):C(117):(4537):D1(-3)
57;2017-07-09 15:18:00;A(180):(109):B1(-131):(-424):C(308):(3059):D1(-29)
58;2017-06-23 12:54:00;A(335):(-48):B1(447):(-2712):C(-474):(-1151):D1(3)
59;2018-08-11 22:31:00;A(-913):(14):B1(-31):(250):C(1040):(-942):D1(-155)
60;2017-03-01 17:17:00;A(10):(128):B1(176):(6654):C(-515):(-9558):D1(-53)
61;2017-02-19 16:33:00;A(54):(9):B2(470):(-384):C(484):(344):D1(-76)
62;2017-07-25 20:36:00;A(269):(-190):B1(-166):(1202):C(2293):(1652):D1(-243)
63;2017-02-14 22:07:00;A(-159):(-225):B1(78):(-5716):C(1733):(9068):D1(358)
64;2017-02-11 00:26:00;A(-131):(92):B1(266):(-242):C(-839):(5029):D1(60)
65;2017-11-20 17:43:00;A(-1182):(-19):B1(25):(-2640):C(922):(1198):D1(-1016)
66;2017-04-26 18:28:00;A(-907):(-15):B1(127):(-729):C(162):(-3573):D1(-2)
67;2017-07-28 05:20:00;A(-531):(3):B1(247):(-42):C(-571):(2289):D1(344)
68;2018-01-16 18:29:00;A(-347):(18):B1(597):(2066):C(1470):(2555):D1(79)
69;2017-04-16 22:28:00;A(346):(17):B1(-32):(-3118):C(-544):(-2981):D1(-106)
70;2020-03-11 14:06:00;A(185):(-261):B1(111):(1866):C(301):(196):D1(-26)
71;2017-04-22 13:01:00;A(32):(89):B1(25):(-138):C(-1488):(1531):D1(207)
