ID;Activity;StartTime;EndTime
0;A;2017-03-14 17:08:00;2017-03-16 19:26:00
0;B1;2017-03-16 20:12:00;2017-03-17 00:07:00
0;C;2017-03-16 06:58:00;2017-03-17 17:53:00
0;D1;2017-03-17 02:55:00;2017-03-17 10:31:00
1;A;2017-03-24 04:57:00;2017-03-25 00:11:00
1;B1;2017-03-25 00:27:00;2017-03-25 02:48:00
1;C;2017-03-25 08:39:00;2017-03-27 10:43:00
1;D1;2017-03-27 16:52:00;2017-03-27 12:17:00
2;A;2017-01-28 20:55:00;2017-01-28 09:18:00
2;B1;2017-01-28 09:33:00;2017-01-28 05:35:00
2;C;2017-01-28 05:13:00;2017-01-28 17:13:00
2;D1;2017-01-27 19:26:00;2017-01-27 22:49:00
3;A;2018-02-18 01:09:00;2018-02-17 11:49:00
3;B1;2018-02-17 14:03:00;2018-02-17 20:20:00
3;C;2018-02-18 04:20:00;2018-02-17 11:33:00
3;D1;2018-02-15 05:45:00;2018-02-15 01:23:00
4;A;2017-08-19 12:09:00;2017-08-20 02:19:00
4;B1;2017-08-20 02:54:00;2017-08-20 02:48:00
4;C;2017-08-21 22:33:00;2017-08-21 09:20:00
4;D1;2017-08-21 06:22:00;2017-08-21 06:42:00
5;A;2018-10-10 00:11:00;2018-10-09 21:17:00
5;B1;2018-10-09 18:10:00;2018-10-09 17:20:00
5;C;2018-10-09 20:55:00;2018-10-10 16:43:00
5;D1;2018-10-07 11:17:00;2018-10-07 13:37:00
6;A;2017-05-24 19:41:00;2017-05-24 20:20:00
6;B1;2017-05-24 21:15:00;2017-05-24 08:04:00
6;C;2017-05-22 11:11:00;2017-05-22 15:21:00
6;D1;2017-05-23 02:22:00;2017-05-23 17:19:00
7;A;2017-10-29 15:36:00;2017-10-29 17:35:00
7;B1;2017-10-29 18:33:00;2017-10-29 20:03:00
7;C;2017-11-01 04:53:00;2017-10-31 09:54:00
7;D1;2017-10-30 13:52:00;2017-10-30 12:59:00
8;A;2017-08-07 12:53:00;2017-08-08 13:38:00
8;B1;2017-08-08 11:58:00;2017-08-08 10:55:00
8;C;2017-08-08 07:40:00;2017-08-06 17:19:00
8;D1;2017-08-06 23:17:00;2017-08-07 00:05:00
9;A;2017-03-01 00:29:00;2017-02-27 20:32:00
9;B1;2017-02-27 22:47:00;2017-02-27 21:56:00
9;C;2017-02-28 14:16:00;2017-02-27 13:51:00
9;D1;2017-02-23 00:21:00;2017-02-23 01:47:00
10;A;2017-06-05 05:37:00;2017-06-05 12:45:00
10;B1;2017-06-05 12:32:00;2017-06-05 08:45:00
10;C;2017-06-05 08:22:00;2017-06-05 05:30:00
10;D1;2017-06-04 12:27:00;2017-06-04 13:22:00
11;A;2018-03-18 19:50:00;2018-03-17 03:08:00
11;B1;2018-03-17 03:59:00;2018-03-17 12:30:00
11;C;2018-03-19 03:10:00;2018-03-19 08:06:00
11;D1;2018-03-23 14:15:00;2018-03-23 15:11:00
12;A;2017-03-07 13:06:00;2017-03-07 08:15:00
12;B1;2017-03-07 08:50:00;2017-03-06 15:47:00
12;C;2017-03-05 22:49:00;2017-03-06 21:43:00
12;D1;2017-03-08 02:23:00;2017-03-08 06:07:00
13;A;2017-02-17 22:32:00;2017-02-18 12:18:00
13;B1;2017-02-18 14:22:00;2017-02-18 16:05:00
13;C;2017-02-20 11:45:00;2017-02-20 19:42:00
13;D1;2017-02-19 01:16:00;2017-02-19 12:28:00
14;A;2017-11-08 20:10:00;2017-11-08 14:45:00
14;B1;2017-11-08 14:37:00;2017-11-08 20:13:00
14;C;2017-11-09 02:43:00;2017-11-09 16:08:00
14;D1;2017-11-09 10:27:00;2017-11-09 15:12:00
15;A;2017-05-22 13:12:00;2017-05-22 15:07:00
15;B1;2017-05-22 17:37:00;2017-05-22 22:05:00
15;C;2017-05-25 00:48:00;2017-05-24 16:06:00
15;D1;2017-05-21 23:46:00;2017-05-21 22:11:00
16;A;2017-01-30 15:01:00;2017-01-30 08:52:00
16;B1;2017-01-30 09:44:00;2017-01-30 18:33:00
16;C;2017-01-29 17:48:00;2017-01-30 04:30:00
16;D1;2017-01-30 18:53:00;2017-01-30 20:28:00
17;A;2017-06-22 01:34:00;2017-06-22 05:27:00
17;B1;2017-06-22 01:46:00;2017-06-21 22:29:00
17;C;2017-06-21 13:42:00;2017-06-22 04:28:00
17;D1;2017-06-22 04:42:00;2017-06-22 07:04:00
18;A;2017-09-14 05:43:00;2017-09-13 14:21:00
18;B1;2017-09-13 12:47:00;2017-09-13 10:57:00
18;C;2017-09-13 14:48:00;2017-09-14 16:58:00
18;D1;2017-09-14 20:25:00;2017-09-14 19:24:00
19;A;2017-07-21 23:48:00;2017-07-22 00:25:00
19;B1;2017-07-22 00:46:00;2017-07-22 03:09:00
19;C;2017-07-21 12:18:00;2017-07-19 18:54:00
19;D2;2017-07-20 00:59:00;2017-07-20 01:33:00
20;A;2017-04-09 01:54:00;2017-04-09 08:48:00
20;B1;2017-04-09 12:38:00;2017-04-09 10:56:00
20;C;2017-04-11 17:47:00;2017-04-11 05:03:00
20;D1;2017-04-07 07:05:00;2017-04-07 07:14:00
21;A;2017-04-06 00:58:00;2017-04-06 12:35:00
21;B1;2017-04-06 11:52:00;2017-04-06 10:00:00
21;C;2017-04-05 15:52:00;2017-04-07 21:06:00
21;D1;2017-04-08 11:14:00;2017-04-08 16:13:00
22;A;2018-11-04 04:54:00;2018-11-04 02:04:00
22;B1;2018-11-04 00:54:00;2018-11-03 15:10:00
22;C;2018-11-04 00:35:00;2018-11-04 18:40:00
22;D1;2018-11-03 13:33:00;2018-11-03 03:59:00
23;A;2017-06-15 10:58:00;2017-06-16 06:08:00
23;B1;2017-06-16 06:30:00;2017-06-16 15:55:00
23;C;2017-06-17 04:02:00;2017-06-17 05:12:00
23;D1;2017-06-19 06:12:00;2017-06-19 06:13:00
24;A;2017-02-14 23:51:00;2017-02-15 17:28:00
24;B1;2017-02-15 18:35:00;2017-02-15 23:04:00
24;C;2017-02-14 02:57:00;2017-02-15 00:01:00
24;D1;2017-02-14 05:02:00;2017-02-14 01:01:00
25;A;2019-04-28 02:25:00;2019-04-26 00:52:00
25;B1;2019-04-26 03:31:00;2019-04-26 13:13:00
25;C;2019-04-26 14:57:00;2019-04-27 03:26:00
25;D1;2019-04-27 01:58:00;2019-04-27 03:00:00
26;A;2017-02-04 02:20:00;2017-02-04 08:54:00
26;B1;2017-02-04 05:29:00;2017-02-04 01:09:00
26;C;2017-02-05 02:32:00;2017-02-04 06:11:00
26;D1;2017-02-08 01:35:00;2017-02-07 18:29:00
27;A;2017-10-06 21:09:00;2017-10-07 03:24:00
27;B1;2017-10-07 06:18:00;2017-10-07 13:49:00
27;C;2017-10-08 10:36:00;2017-10-08 09:56:00
27;D1;2017-10-10 06:59:00;2017-10-10 07:04:00
28;A;2017-10-26 11:33:00;2017-10-26 16:09:00
28;B1;2017-10-26 18:03:00;2017-10-26 23:42:00
28;C;2017-10-27 06:24:00;2017-10-25 06:46:00
28;D1;2017-10-23 06:13:00;2017-10-23 08:17:00
