ID;StartTime;Path
0;2017-03-07 17:42:00;A(1680):(1200):B1(2580):(11220):C(13440):(30720):D1(1800)
1;2017-11-30 21:47:00;A(1500):(1020):B1(2100):(9420):C(4020):(19260):D1(600)
2;2017-04-06 15:06:00;A(5520):(660):B1(2820):(7440):C(14220):(19020):D1(600)
3;2017-08-21 18:42:00;A(3600):(420):B1(1620):(9660):C(14100):(15840):D1(1020)
4;2017-07-10 07:51:00;A(6180):(1380):B1(2580):(13740):C(9780):(14880):D1(1200)
5;2017-08-03 18:05:00;A(4740):(360):B1(1380):(8460):C(10380):(19980):D1(1500)
6;2017-07-17 12:26:00;A(3780):(300):B1(2040):(14220):C(11460):(18840):D1(1980)
7;2017-05-27 00:24:00;A(6060):(900):B1(2940):(14040):C(10500):(26520):D1(900)
8;2017-12-19 06:24:00;A(3780):(360):B1(1800):(9540):C(12300):(32340):D1(2880)
9;2017-08-05 11:43:00;A(3360):(900):B1(2340):(16740):C(3600):(23880):D1(2520)
10;2017-05-16 00:20:00;A(3960):(1020):B1(2640):(7260):C(10020):(18480):D1(1380)
11;2017-05-03 07:59:00;A(1080):(300):B1(1920):(10380):C(14040):(27000):D1(1500)
12;2017-03-12 17:40:00;A(5760):(1140):B1(1620):(16860):C(7620):(15180):D1(1260)
13;2017-06-28 16:05:00;A(7560):(900):B1(1260):(10920):C(4260):(13800):D1(600)
14;2017-07-11 21:31:00;A(1320):(1260):B1(1920):(15720):C(8460):(29220):D2(2040)
15;2017-04-25 16:30:00;A(900):(540):B1(2280):(15840):C(8520):(31440):D1(2160)
16;2017-01-16 15:03:00;A(840):(1380):B1(2520):(11220):C(12060):(23220):D1(1920)
17;2017-03-25 03:33:00;A(3240):(720):B1(2640):(9180):C(6600):(14100):D1(2700)
18;2017-09-14 15:48:00;A(1080):(540):B1(1560):(15720):C(13140):(31200):D1(1560)
19;2017-02-05 06:15:00;A(3840):(420):B1(2400):(9480):C(12120):(21900):D1(2100)
20;2017-01-17 05:02:00;A(6060):(540):B1(1860):(9180):C(12600):(29760):D1(780)
21;2017-01-23 01:52:00;A(7500):(960):B1(1440):(9720):C(8280):(11580):D1(2760)
22;2017-03-27 22:42:00;A(3420):(1380):B1(1320):(7380):C(9780):(23640):D1(900)
23;2017-10-09 09:50:00;A(7680):(360):B1(1560):(7800):C(9780):(26400):D1(660)
24;2017-11-05 03:41:00;A(4860):(660):B1(2340):(9300):C(7080):(19680):D1(2820)
25;2017-02-25 04:12:00;A(6540):(900):B1(2100):(7440):C(9960):(11160):D1(2040)
26;2017-04-03 22:34:00;A(7620):(300):B1(1260):(8580):C(6060):(17340):D1(2640)
27;2017-12-05 10:48:00;A(4140):(1440):B1(2820):(15240):C(9780):(13980):D1(2400)
28;2017-06-25 07:19:00;A(5160):(1380):B1(2640):(14520):C(4200):(26820):D1(660)
29;2017-02-11 16:29:00;A(5460):(420):B1(2760):(8760):C(6180):(22800):D1(2160)
30;2017-04-13 01:36:00;A(3300):(720):B1(2340):(14160):C(7200):(22680):D1(2640)
31;2017-03-08 23:36:00;A(2460):(1320):B1(1740):(7740):C(10140):(11280):D1(1260)
32;2017-09-04 13:53:00;A(6180):(600):B1(2520):(17520):C(11340):(31800):D1(780)
33;2017-12-11 12:38:00;A(4500):(840):B1(1500):(7320):C(5520):(16920):D1(2460)
34;2017-10-17 19:35:00;A(1860):(1440):B1(2160):(12240):C(9360):(28800):D1(1680)
35;2017-02-12 18:59:00;A(3480):(420):B1(1560):(11220):C(7080):(31080):D1(2820)
36;2017-11-15 01:02:00;A(6360):(1200):B1(1620):(15720):C(10500):(20880):D1(1440)
37;2017-12-23 11:56:00;A(3360):(600):B1(2640):(9540):C(9960):(24540):D1(1740)
38;2017-02-24 13:07:00;A(3420):(300):B1(1800):(7320):C(7080):(31140):D1(1860)
39;2017-02-07 10:53:00;A(4440):(600):B1(2760):(17040):C(4860):(18840):D1(1080)
40;2017-01-19 05:07:00;A(2940):(540):B1(1860):(12240):C(13020):(25980):D1(2460)
41;2017-11-24 04:50:00;A(3360):(1200):B1(2460):(7980):C(12720):(19380):D1(2640)
42;2017-01-04 13:45:00;A(5460):(1380):B1(2040):(15720):C(9180):(28980):D1(1620)
43;2017-10-04 05:45:00;A(3720):(360):B1(2820):(9120):C(4260):(14160):D1(2460)
44;2017-11-06 17:07:00;A(2460):(1440):B1(2700):(16680):C(13800):(28140):D1(2100)
45;2017-10-17 05:49:00;A(840):(420):B1(1500):(15120):C(9240):(27720):D1(1500)
46;2017-07-20 20:29:00;A(5700):(540):B2(3000):(8100):C(8940):(14940):D1(2040)
47;2017-08-29 09:31:00;A(3480):(1440):B1(2040):(14760):C(10740):(29340):D1(1020)
48;2017-08-02 16:51:00;A(4200):(840):B1(1440):(7980):C(11460):(12780):D1(2160)
49;2017-08-03 09:04:00;A(4620):(360):B1(2280):(7680):C(6720):(15660):D2(3720)
50;2017-06-11 01:54:00;A(6360):(480):B1(2760):(16740):C(7620):(24240):D1(2880)
51;2017-08-28 12:08:00;A(600):(1200):B1(1260):(9840):C(12060):(26640):D1(1320)
52;2017-07-30 16:06:00;A(1680):(660):B1(2700):(7380):C(5940):(12240):D1(1800)
53;2017-07-01 18:24:00;A(3540):(720):B1(1800):(7260):C(14160):(11820):D1(900)
54;2017-08-03 08:44:00;A(2400):(1200):B1(2700):(16860):C(3960):(29760):D1(660)
55;2017-03-23 07:48:00;A(5400):(1080):B1(2580):(12300):C(13080):(22140):D1(1620)
56;2017-07-28 17:05:00;A(5220):(1140):B1(1800):(12300):C(9780):(22500):D1(2700)
57;2017-09-06 15:44:00;A(2040):(360):B1(2880):(15780):C(4740):(32220):D1(2880)
58;2017-09-25 11:45:00;A(6540):(720):B1(1620):(8700):C(6660):(23100):D1(1200)
59;2017-11-07 12:34:00;A(1320):(300):B1(1680):(13020):C(11340):(24300):D1(780)
60;2017-09-20 06:32:00;A(4500):(780):B1(2940):(15600):C(7560):(16320):D1(2760)
61;2017-12-30 07:33:00;A(900):(480):B1(1200):(14760):C(11700):(13740):D1(2400)
62;2017-11-12 03:30:00;A(4140):(1080):B1(1380):(15540):C(7980):(12240):D1(2040)
63;2017-08-13 11:03:00;A(7260):(600):B1(2880):(10800):C(13620):(26040):D1(2400)
64;2017-01-30 23:57:00;A(2160):(900):B1(1800):(9720):C(10800):(28620):D1(1740)
65;2017-05-25 05:39:00;A(7080):(1020):B1(2640):(12360):C(11460):(14220):D2(3780)
66;2017-05-01 23:33:00;A(2160):(1440):B1(1500):(13620):C(5340):(15600):D1(2820)
67;2017-07-13 17:42:00;A(5820):(1260):B1(2640):(15240):C(3780):(25320):D1(2340)
68;2017-04-07 10:47:00;A(3720):(1380):B1(1440):(11340):C(7080):(18300):D1(1320)
69;2017-03-28 20:45:00;A(7380):(1380):B1(2580):(10740):C(12240):(15240):D1(2100)
70;2017-05-08 00:30:00;A(2700):(900):B1(1260):(14460):C(6840):(12840):D1(960)
71;2017-04-29 21:56:00;A(6720):(360):B1(2160):(8880):C(4140):(19980):D1(2820)
72;2017-11-16 23:04:00;A(5520):(600):B1(1920):(17460):C(10500):(13980):D1(1200)
73;2017-01-30 20:23:00;A(1560):(480):B1(2940):(8700):C(7500):(19380):D1(2340)
74;2017-10-02 01:36:00;A(2760):(1140):B1(2580):(12540):C(7440):(26160):D1(1020)
75;2017-03-18 16:52:00;A(6960):(300):B1(2040):(11280):C(10920):(30780):D1(2100)
76;2017-06-28 01:08:00;A(7440):(660):B1(1500):(14760):C(5220):(17760):D1(1200)
77;2017-11-11 20:06:00;A(6180):(300):B1(2280):(12720):C(5220):(11040):D1(1080)
78;2017-09-09 15:44:00;A(6300):(900):B1(1500):(9780):C(5520):(21360):D1(2700)
79;2017-07-06 03:39:00;A(6180):(1260):B1(2400):(10260):C(13740):(22560):D1(2400)
80;2017-08-17 16:01:00;A(960):(1440):B1(1500):(14400):C(4020):(21240):D1(2940)
81;2017-01-05 14:38:00;A(3240):(360):B1(2940):(10800):C(12960):(27960):D1(1380)
