ID;StartTime;Path
0;2017-03-07 17:42:00;A(184):(712):B1(2555):(18551):C(8624):(41067):D1(2418)
1;2017-11-30 21:47:00;A(8060):(693):B1(2847):(17193):C(8918):(24802):D1(325)
2;2017-04-06 15:06:00;A(1559):(685):B1(3099):(20767):C(12135):(37449):D1(1711)
3;2017-08-21 18:42:00;A(4336):(1568):B1(1946):(18733):C(17029):(8020):D1(4751)
4;2017-07-10 07:51:00;A(4203):(657):B1(950):(21275):C(9922):(21099):D1(3227)
5;2017-08-03 18:05:00;A(4652):(1071):B1(1283):(14639):C(5837):(12980):D1(4179)
6;2017-07-17 12:26:00;A(5716):(1749):B1(1467):(12426):C(13161):(20876):D1(1245)
7;2017-05-27 00:24:00;A(5708):(1697):B1(1715):(9795):C(12728):(24130):D1(412)
8;2017-12-19 06:24:00;A(9189):(1132):B1(2045):(29559):C(19502):(8859):D1(1236)
9;2017-08-05 11:43:00;A(6811):(583):B1(2086):(9884):C(16496):(24723):D1(1685)
10;2017-05-16 00:20:00;A(6803):(1296):B1(2596):(16833):C(8803):(21120):D1(759)
11;2017-05-03 07:59:00;A(1648):(879):B1(2936):(20709):C(15581):(40408):D1(498)
12;2017-03-12 17:40:00;A(2720):(355):B1(1696):(10542):C(14190):(19591):D1(2073)
13;2017-06-28 16:05:00;A(4655):(691):B1(1364):(13144):C(12140):(29736):D1(6163)
14;2017-07-11 21:31:00;A(11454):(451):B1(1416):(17047):C(6398):(26011):D2(1320)
15;2017-04-25 16:30:00;A(3563):(1388):B1(2509):(16767):C(16218):(26170):D1(759)
16;2017-01-16 15:03:00;A(6226):(1604):B1(2357):(19269):C(7310):(17344):D1(2105)
17;2017-03-25 03:33:00;A(1938):(220):B1(1860):(10901):C(7771):(13402):D1(3214)
18;2017-09-14 15:48:00;A(4183):(1307):B1(1605):(13963):C(13019):(10864):D1(1495)
19;2017-02-05 06:15:00;A(5752):(1009):B1(3185):(16142):C(10409):(17010):D1(2239)
20;2017-01-17 05:02:00;A(4426):(1109):B1(2989):(13495):C(5651):(20569):D1(2117)
21;2017-01-23 01:52:00;A(2822):(2659):B1(3635):(6579):C(15769):(29494):D1(1406)
22;2017-03-27 22:42:00;A(1646):(473):B1(3090):(15827):C(8255):(27504):D1(2696)
23;2017-10-09 09:50:00;A(798):(1004):B1(2813):(10545):C(3700):(6921):D1(1728)
24;2017-11-05 03:41:00;A(4885):(960):B1(3359):(20687):C(12163):(18019):D1(1526)
25;2017-02-25 04:12:00;A(6611):(1059):B1(1281):(13661):C(18929):(32943):D1(1843)
26;2017-04-03 22:34:00;A(2565):(631):B1(2840):(10186):C(4281):(31781):D1(5029)
27;2017-12-05 10:48:00;A(6553):(542):B1(1595):(10996):C(17868):(24462):D1(5417)
28;2017-06-25 07:19:00;A(8474):(436):B1(2264):(9383):C(13865):(29148):D1(1625)
29;2017-02-11 16:29:00;A(1041):(186):B1(1693):(24023):C(5090):(29815):D1(3456)
30;2017-04-13 01:36:00;A(4851):(1258):B1(2213):(27461):C(2681):(29835):D1(3035)
31;2017-03-08 23:36:00;A(4242):(510):B1(702):(16551):C(16215):(21123):D1(239)
32;2017-09-04 13:53:00;A(4390):(2005):B1(1362):(15292):C(13879):(29395):D1(795)
33;2017-12-11 12:38:00;A(2972):(933):B1(2207):(23889):C(4284):(22221):D1(602)
34;2017-10-17 19:35:00;A(7121):(177):B1(2018):(15020):C(13417):(26891):D1(1531)
35;2017-02-12 18:59:00;A(4082):(1625):B1(5302):(20468):C(13684):(29493):D1(1532)
36;2017-11-15 01:02:00;A(6418):(671):B1(3671):(7599):C(8320):(37068):D1(2734)
37;2017-12-23 11:56:00;A(2593):(828):B1(3562):(17367):C(5097):(20325):D1(1855)
38;2017-02-24 13:07:00;A(3407):(324):B1(2231):(16898):C(4740):(36452):D1(994)
39;2017-02-07 10:53:00;A(4783):(106):B1(2317):(10736):C(14825):(37296):D1(2048)
40;2017-01-19 05:07:00;A(6020):(814):B1(2861):(18295):C(11887):(5904):D1(2021)
41;2017-11-24 04:50:00;A(5314):(1025):B1(2413):(9685):C(12107):(32103):D1(1791)
42;2017-01-04 13:45:00;A(3769):(855):B1(3038):(16064):C(8956):(13739):D1(1975)
43;2017-10-04 05:45:00;A(3803):(595):B1(2531):(17644):C(5842):(25927):D1(1938)
44;2017-11-06 17:07:00;A(4981):(1063):B1(2903):(16591):C(11785):(32152):D1(2151)
45;2017-10-17 05:49:00;A(5971):(1205):B1(2696):(8684):C(15185):(39334):D1(2839)
46;2017-07-20 20:29:00;A(2633):(877):B2(2548):(12652):C(5152):(14336):D1(1439)
47;2017-08-29 09:31:00;A(5674):(398):B1(1505):(12881):C(2364):(8978):D1(2525)
48;2017-08-02 16:51:00;A(6894):(1280):B1(2416):(7337):C(3608):(27891):D1(1981)
49;2017-08-03 09:04:00;A(2717):(763):B1(2500):(15158):C(16387):(21513):D2(4091)
50;2017-06-11 01:54:00;A(9115):(419):B1(981):(13577):C(4271):(15832):D1(1493)
51;2017-08-28 12:08:00;A(2822):(1251):B1(2239):(12598):C(2728):(41134):D1(1863)
52;2017-07-30 16:06:00;A(5959):(779):B1(3240):(16825):C(20588):(17863):D1(1348)
53;2017-07-01 18:24:00;A(2132):(580):B1(3296):(5166):C(8812):(30502):D1(2538)
54;2017-08-03 08:44:00;A(5613):(883):B1(2378):(18404):C(17313):(42168):D1(2228)
55;2017-03-23 07:48:00;A(2902):(200):B1(2339):(9539):C(10061):(23960):D1(1786)
56;2017-07-28 17:05:00;A(9464):(656):B1(1169):(14225):C(7228):(25097):D1(977)
57;2017-09-06 15:44:00;A(6602):(111):B1(5529):(23407):C(17780):(33360):D1(604)
58;2017-09-25 11:45:00;A(6167):(1600):B1(3475):(16490):C(13653):(24304):D1(1155)
59;2017-11-07 12:34:00;A(7507):(453):B1(2510):(8978):C(10280):(29738):D1(364)
60;2017-09-20 06:32:00;A(7479):(808):B1(1395):(4265):C(10569):(13691):D1(2363)
61;2017-12-30 07:33:00;A(3318):(513):B1(2929):(15953):C(13215):(5501):D1(1443)
62;2017-11-12 03:30:00;A(6391):(1291):B1(2108):(22583):C(1393):(17235):D1(1609)
63;2017-08-13 11:03:00;A(7029):(990):B1(2322):(15779):C(11434):(30004):D1(1857)
64;2017-01-30 23:57:00;A(5345):(813):B1(2278):(14811):C(14358):(27024):D1(2166)
65;2017-05-25 05:39:00;A(9440):(977):B1(2488):(15355):C(8381):(44039):D2(3758)
66;2017-05-01 23:33:00;A(5127):(920):B1(2747):(16038):C(14406):(49916):D1(1849)
67;2017-07-13 17:42:00;A(5267):(379):B1(2462):(9192):C(7925):(28663):D1(1367)
68;2017-04-07 10:47:00;A(7272):(1216):B1(1819):(24359):C(20615):(23515):D1(614)
69;2017-03-28 20:45:00;A(7615):(444):B1(2151):(31131):C(2234):(40821):D1(1278)
70;2017-05-08 00:30:00;A(3218):(599):B1(2647):(16654):C(13263):(28993):D1(2076)
71;2017-04-29 21:56:00;A(3435):(839):B1(2739):(13110):C(14934):(22469):D1(1160)
72;2017-11-16 23:04:00;A(5870):(2153):B1(2364):(17854):C(8925):(23283):D1(2420)
73;2017-01-30 20:23:00;A(6781):(891):B1(1196):(3533):C(11625):(38990):D1(1650)
74;2017-10-02 01:36:00;A(1174):(354):B1(2302):(31675):C(3198):(26099):D1(2494)
75;2017-03-18 16:52:00;A(6007):(1184):B1(2853):(24541):C(10876):(38601):D1(583)
76;2017-06-28 01:08:00;A(5641):(1247):B1(2575):(6798):C(21200):(16960):D1(2170)
77;2017-11-11 20:06:00;A(3016):(208):B1(2567):(22909):C(6169):(21469):D1(2681)
78;2017-09-09 15:44:00;A(7460):(994):B1(2887):(4831):C(7885):(30765):D1(2155)
79;2017-07-06 03:39:00;A(6396):(1081):B1(2674):(19381):C(9434):(32675):D1(2035)
80;2017-08-17 16:01:00;A(7584):(1947):B1(1240):(18140):C(14086):(42566):D1(2287)
81;2017-01-05 14:38:00;A(3890):(353):B1(2230):(18337):C(13230):(25262):D1(3537)
