ID;StartTime;Path
0;2017-05-14 16:40:00;A(4560):(380):B1(2283):(26543):C(9996):(25394):D1(1544)
1;2017-11-01 11:29:00;A(1889):(924):B1(3059):(4333):C(10124):(15462):D1(1771)
2;2017-04-02 11:55:00;A(9609):(812):B1(2271):(3936):C(21311):(11266):D1(1846)
3;2017-11-11 15:02:00;A(5247):(1266):B1(2456):(11737):C(11069):(23140):D1(1349)
4;2017-08-27 17:56:00;A(6819):(165):B1(2399):(26532):C(7177):(6413):D1(1076)
5;2017-01-18 23:39:00;A(4800):(1203):B1(3183):(10471):C(9092):(9714):D1(2217)
6;2017-03-12 10:07:00;A(4922):(171):B1(2469):(14610):C(8797):(30239):D1(1919)
7;2017-10-17 18:51:00;A(8529):(624):B1(3879):(17948):C(7379):(7921):D1(1150)
8;2017-04-04 03:53:00;A(7653):(1831):B1(3172):(18327):C(8905):(36658):D1(1447)
9;2017-04-27 09:25:00;A(4241):(507):B1(2827):(14817):C(8791):(13410):D1(1863)
