ID;StartTime;Path
0;2017-05-14 16:40:00;A(7012):(855):B1(1583):(13198):C(9885):(10487):D1(2273)
1;2017-11-01 11:29:00;A(7457):(763):B1(1386):(13638):C(12725):(11134):D1(2532)
2;2017-04-02 11:55:00;A(7153):(707):B1(1810):(10949):C(12097):(14296):D1(1819)
3;2017-11-11 15:02:00;A(5939):(569):B1(1603):(13222):C(11137):(10834):D1(2174)
4;2017-08-27 17:56:00;A(6648):(773):B1(1466):(11306):C(12868):(10709):D1(2300)
5;2017-01-18 23:39:00;A(8139):(653):B1(1617):(11248):C(10406):(10620):D1(1993)
6;2017-03-12 10:07:00;A(6446):(900):B1(1239):(11501):C(13070):(11155):D1(2133)
7;2017-10-17 18:51:00;A(6282):(824):B1(1928):(13359):C(13140):(9157):D1(2311)
8;2017-04-04 03:53:00;A(5922):(765):B1(1512):(14799):C(13681):(10991):D1(2021)
9;2017-04-27 09:25:00;A(7056):(726):B1(1642):(12387):C(15462):(9198):D1(2106)
